feature,importance
age,0.1459544648628623
available_gb,0.10211186347688483
contract_lifetime_days,0.06337544629952309
gross_mrc,0.04327485505187612
remaining_binding_days,0.03896570749604652
contract_binding_days,0.03609231550727574
is_magenta1_customer,0.031153738504471153
completion_rate,0.03031563018134202
times_in_p5,0.016300811245924078
delta_1mo_volatility,0.014841253909122916
usage_std_gb,0.013830440502246218
last_3_delta_1mo,0.013781929854207292
last_1_delta_2mo,0.013034944873259227
last_1_2mo_rolling_avg,0.012983024967219087
avg_monthly_usage_gb,0.012603837542984537
last_2_delta_1mo,0.01258949864457823
delta_2mo_volatility,0.012487506523242934
avg_delta_2mo,0.012317639049073837
max_delta_2mo_decrease,0.012200871231121319
last_1_month_usage_gb,0.012137071681400373
last_2_3mo_rolling_avg,0.011936627148509746
last_1_3mo_rolling_avg,0.011921799598411971
last_1_delta_1mo,0.01186683826448383
last_2_2mo_rolling_avg,0.011825379274495658
last_2_2mo_rolling_stdev,0.011670705973399195
last_3_2mo_rolling_stdev,0.011655138015671243
total_usage_gb,0.011626154252536354
last_2_month_usage_gb,0.011593477399874812
last_2_delta_2mo,0.011462711524131154
last_4_month_usage_gb,0.011357672975712475
usage_q25_gb,0.011207756017645011
max_delta_1mo_decrease,0.01119974450301929
last_3_month_usage_gb,0.011065706643069387
min_monthly_usage_gb,0.010967283958165227
times_in_p1,0.010925337039734919
last_3_2mo_rolling_avg,0.010900979442032716
max_delta_2mo_increase,0.010851120129905831
avg_delta_1mo,0.010754637003541847
median_monthly_usage_gb,0.010681089319918825
max_delta_1mo_increase,0.010412053475201265
last_1_2mo_rolling_stdev,0.01040699041175095
max_delta_3mo_increase,0.010156049283715158
max_delta_3mo_decrease,0.010154186820137532
avg_delta_3mo,0.01012885970709009
last_1_delta_3mo,0.009789265217093595
max_monthly_usage_gb,0.009459921924293709
usage_q75_gb,0.009314572414160739
is_bounded,0.007536965912888923
days_since_last_rechnungsanfragen,0.00359987677557736
days_since_last_produkte&services-tarifwechsel,0.0033373249194509932
months_with_roaming,0.003285438936645381
times_in_p2,0.002891331239576537
n_contracts_per_customer,0.0028583734656841284
days_since_last_prolongation,0.002703896285136748
days_since_last_produkte&services-tarifdetails,0.002451428521317484
months_with_delta_1mo_increase,0.00220293556193458
is_iphone,0.0021053093758477597
months_with_delta_2mo_increase,0.0020882408304721592
months_with_delta_1mo_decrease,0.001963826771342751
n_rechnungsanfragen,0.0018944069982493952
is_samsung,0.0018667238338580378
months_with_delta_2mo_decrease,0.0016281840720347852
times_in_p4,0.0014315684798396494
has_special_offer,0.0013841298820535088
ever_used_roaming,0.0012689369206213008
n_produkte&services-tarifwechsel,0.0010805328647568834
is_huawei,0.00105886895684072
n_produkte&services-tarifdetails,0.001057758831548677
months_with_delta_3mo_decrease,0.0010373411910866912
n_prolongation,0.0010147006182809246
times_in_p3,0.0010068236935364691
months_with_delta_3mo_increase,0.0009881248100620831
months_with_no_delta_1mo_change,0.00024114744095220442
months_with_no_delta_3mo_change,0.0001261559868708336
active_usage_months,0.00012095827525429579
zero_usage_months,0.00008704461648221673
months_with_no_delta_2mo_change,0.000036734789432248146
is_oneplus,0.0
is_xiaomi,0.0
always_used_roaming,0.0
